info_desc,job_name,money,name,tags
员工宿舍，节日福利，包吃，餐补，员工旅游，通讯补贴，五险一金，带薪年假，健身区域，年终奖，补充医疗保险，免费班车，交通补助，定期体检，调薪,大数据工程师-数据仓库,11-20K,积成电子,数据挖掘数据仓库数据处理
年终奖，补充医疗保险，餐补，通讯补贴，加班补助，五险一金，交通补助，节日福利，员工旅游，带薪年假，定期体检,实习安全工程师（在校学生）,3-5K,赛尔网络,Python网络设备信息安全漏洞挖掘安全设备
餐补，节日福利，补充医疗保险，带薪年假，定期体检，免费班车，年终奖，五险一金,数据分析师,8-13K,航天神舟软件,SQLPythonBI大数据回归分析聚类分析
补充医疗保险，五险一金,Python开发工程师,7-10K,汇泉教育科技,PythonCSS后端开发Python工程师
,Python开发工程师,11-16K·13薪,善能科技,PythonPostgreSQLMySQLDjangoFlaskTornadoERP
加班补助，节日福利，定期体检，五险一金，补充医疗保险，带薪年假,银行测试工程师,7-12K,龙盈智达,测试工程师软件测试系统测试PythonShell
年终奖，五险一金，全勤奖,数据库存管理员,10-15K·13薪,瑞银信支付,SQLPythonShellKettle
,Python开发工程师,6-11K,三木众合科技,网络爬虫技术MySQLRedisNoSQLMongoDBLinuxScrapy
交通补助，通讯补贴，餐补，五险一金，带薪年假，全勤奖，节日福利，定期体检，年终奖,数据应用开发工程师,15-22K·15薪,中泰证券,JavaPythonHadoopKafkaFineReport（帆软）大数据DataX
员工旅游，加班补助，节日福利，补充医疗保险，带薪年假，股票期权，交通补助，五险一金，零食下午茶，年终奖，通讯补贴，定期体检,（济南001）自动化测试工程师,6-9K,浪潮,PythonJavaC/C++接口自动化测试接口测试
定期体检，交通补助，五险一金，通讯补贴，股票期权，节日福利，餐补，补充医疗保险，年终奖，带薪年假,AI算法工程师,20-25K,浪潮信息,数据挖掘深度学习Linux
定期体检，五险一金，零食下午茶，补充医疗保险，节日福利，带薪年假,数据库工程师   ETL开发,8-13K,中电金信,SQLShell银行数据库工程师ETL开发hive 大数据开发hadoop
餐补，住房补贴，五险一金，通讯补贴，补充医疗保险，定期体检，带薪年假,运维工程师,6-10K,北京电旗,LinuxPythonSQL服务器配置网络协议NginxTomcatMySQL
通讯补贴，免费班车，节日福利，餐补，加班补助，年终奖，五险一金，带薪年假，定期体检,Python开发工程师,6-8K,鲁能控制,Python深度学习算法人工智能大数据机器人智能硬件智能驾驶
五险一金，加班补助，定期体检，节日福利，员工旅游,Python开发工程师,6-10K,济南人力资本产业开发,网络爬虫技术NoSQLMySQLDjangoFlaskTornadoJava
住房补贴，员工旅游，定期体检，带薪年假，节日福利，五险一金，股票期权，年终奖,算法工程师,8-13K,中孚信息,深度学习算法推荐算法机器学习算法算法设计数据分析大数据TensorFlowPyTorch
餐补，年终奖，五险一金，交通补助,Python开发工程师,7-12K·13薪,云舒,LinuxWindows
员工旅游，交通补助，通讯补贴，节日福利，五险一金，零食下午茶，加班补助,Python开发工程师,10-12K,天健联创控股集团,Python
员工旅游，通讯补贴，带薪年假，餐补，年终奖，节日福利，定期体检，五险一金,python开发工程师,6-11K·14薪,云大网络,Python
员工旅游，补充医疗保险，人民大会堂国，五险一金，带薪年假，住房补贴，定期体检，节日福利，年终奖,数据分析,5-10K,济南贝壳房产公司,ExcelPython
年终奖，五险一金，补充医疗保险，带薪年假，定期体检,大数据开发工程师,10-15K,浪潮云,数据仓库Java分布式技术HadoopSpark大数据Flink
,python编程人员,5-10K,载信物流,PythonSQL
股票期权，定期体检，年终奖，节日福利，五险一金，带薪年假，员工旅游,人工智能讲师（山东）,10-15K,慧科集团,人工智能机器人Python深度学习算法自然语言处理
员工旅游，年终奖，股票期权，五险一金，带薪年假，定期体检，节日福利,逆向工程师,15-25K,恒安嘉新,信息安全病毒分析
通讯补贴，餐补，带薪年假，定期体检，五险一金，交通补助，节日福利，员工旅游,CV算法工程师,12-22K,特来电,深度学习算法视觉图像算法OpencvTensorFlowPytorch图像识别
补充医疗保险，通讯补贴，定期体检，年终奖，五险一金，股票期权，节日福利，员工旅游，零食下午茶，交通补助，带薪年假,Java开发工程师,15-25K,星环科技,PythonPHP分布式技术多线程SpringRedisNoSQLMySQL
五险一金，节日福利，带薪年假，包吃，定期体检，交通补助，年终奖，补充医疗保险，零食下午茶,技术支持工程师（济南）,10-15K·14薪,长亭科技,LinuxPythonShell网络安全防火墙waf网络协议http
节日福利，五险一金，加班补助，餐补，年终奖，通讯补贴，定期体检，带薪年假，员工旅游，交通补助,Python开发工程师,8-13K,青岛速科评测实验室,容器技术分布式技术数据结构多进程服务器配置
节日福利，交通补助，生日贺金，年终奖，定期体检，带薪年假，加班补助，生育子女贺金，五险一金，结婚贺金，通讯补贴,JAVA开发工程师,10-15K,北京宜通,HTMLPythonShellCSS分布式技术数据结构Redis后端开发
定期体检，带薪年假，五险一金，节日福利,Python开发工程师（高级）,11-20K,Manteia,SQLDjangoFlask架构师医疗信息系统
加班补助，餐补，年终奖，五险一金，带薪年假,web后端开发,6-11K·13薪,智驱力,分布式技术消息队列RedisNoSQLLinuxFlaskTornadoGIT
通讯补贴，五险一金，定期体检，交通补助，节日福利，年终奖，餐补，带薪年假,Python开发工程师,8-13K,综保科技,数据结构MySQLRedisDjangoGITSQL
,Python开发工程师,6-7K,独角兽软件,DjangoERP
五险一金，员工旅游，节日福利，带薪年假，定期体检，年终奖，周末双休，补充医疗保险，团队氛围好，加班补助，餐补,前端开发工程师,11-20K,中科软,前端开发VueHTMLHTML5Web端小程序GITMySQL
通讯补贴，零食下午茶，全勤奖，五险一金，定期体检，带薪年假，节日福利,济南上市企业高薪诚聘数据分析师,4-8K,大帮扶,SQLPythonExcelSPSSSAS
五险一金，带薪年假，年终奖，节日福利，加班补助，全勤奖，员工旅游,爬虫工程师,5-10K,66公里,JavaJSPython
餐补，五险一金，带薪年假，定期体检，住房补贴，员工旅游，年终奖，包吃,深度学习算法工程师,10-15K·13薪,产研,深度学习算法视觉图像算法Python人工智能
零食下午茶，年终奖，节日福利，加班补助，定期体检，五险一金,Java开发工程师,6-11K,维云易商,JavaJavascriptPython
带薪年假，节日福利，定期体检，加班补助，年终奖，五险一金，员工旅游，餐补，住房补贴,后端开发工程师,10-15K,山东智研院,JavaGoPHP
,运维工程师,4-7K,东港股份,运维运维工程师网络运维自动化运维LinuxWindowsSQLPython
员工旅游，带薪年假，餐补，加班补助，五险一金，股票期权，节日福利，年终奖，定期体检，交通补助,开发工程师,8-13K·13薪,微医集团,JavaPythonShellPHP
