movie_id,电影名,电影类型,导演演员信息,发行日期,制片国家,评分,评论数,排名
https://movie.douban.com/subject/25958717/,海蒂和爷爷,剧情冒险家庭,导演:阿兰·葛斯彭纳AlainGsponer主演:阿努克·斯特芬AnukSteffen/...,2015,德国瑞士南非,9.2,352889,66
https://movie.douban.com/subject/1292224/,飞越疯人院,剧情,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...,1975,美国,9.1,464556,67
https://movie.douban.com/subject/26580232/,看不见的客人,剧情犯罪悬疑惊悚,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...,2016,西班牙,8.8,960880,68
https://movie.douban.com/subject/1292402/,西西里的美丽传说,剧情战争情色,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...,2000,意大利美国,8.9,779172,69
https://movie.douban.com/subject/1292849/,拯救大兵瑞恩,剧情战争,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,1998,美国,9.0,515764,70
https://movie.douban.com/subject/3008247/,穿条纹睡衣的男孩,剧情战争,导演:马克·赫尔曼MarkHerman主演:阿萨·巴特菲尔德AsaButterfield...,2008,英国美国,9.1,407667,71
https://movie.douban.com/subject/1303021/,小鞋子,剧情儿童家庭,导演:马基德·马基迪MajidMajidi主演:法拉赫阿米尔·哈什米安AmirFa...,1997,伊朗,9.2,322924,72
https://movie.douban.com/subject/1294408/,音乐之声,剧情传记爱情歌舞,导演:罗伯特·怀斯RobertWise主演:朱莉·安德鲁斯JulieAndrews/克...,1965,美国,9.1,477765,73
https://movie.douban.com/subject/1292220/,情书,剧情爱情,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...,1995,日本,8.9,720183,74
https://movie.douban.com/subject/3442220/,海豚湾,纪录片,导演:路易·西霍尤斯LouiePsihoyos主演:RichardO'Barry/路易·西霍...,2009,美国,9.3,305099,75
https://movie.douban.com/subject/1292262/,美国往事,犯罪剧情,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...,1984,美国意大利,9.2,331637,76
https://movie.douban.com/subject/1780330/,致命魔术,剧情悬疑惊悚,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...,2006,英国美国,8.9,687255,77
https://movie.douban.com/subject/1293544/,沉默的羔羊,剧情犯罪惊悚,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster/安...,1991,美国,8.9,679835,78
https://movie.douban.com/subject/2334904/,禁闭岛,剧情悬疑惊悚,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,2010,美国,8.8,755552,79
https://movie.douban.com/subject/1291832/,低俗小说,剧情喜剧犯罪,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...,1994,美国,8.9,662777,80
https://movie.douban.com/subject/1292343/,蝴蝶效应,剧情悬疑科幻惊悚,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主...,2004,美国加拿大,8.8,743966,81
https://movie.douban.com/subject/1292656/,心灵捕手,剧情,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...,1997,美国,8.9,560043,82
https://movie.douban.com/subject/1292223/,七宗罪,剧情犯罪悬疑惊悚,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...,1995,美国,8.8,774374,83
https://movie.douban.com/subject/11525673/,布达佩斯大饭店,剧情喜剧冒险,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes/...,2014,美国德国英国,8.9,708292,84
https://movie.douban.com/subject/1292679/,春光乍泄,剧情爱情同性,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/梁朝伟TonyLeu...,1997,中国香港日本韩国,8.9,498267,85
https://movie.douban.com/subject/3011235/,哈利·波特与死亡圣器(下),奇幻冒险,导演:大卫·叶茨DavidYates主演:丹尼尔·雷德克里夫DanielRadcliffe...,2011,美国英国,8.9,619061,86
https://movie.douban.com/subject/1294371/,摩登时代,剧情喜剧爱情,导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...,1936,美国,9.3,229279,87
https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生,剧情歌舞,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani/瑛太E...,2006,日本,8.9,588149,88
https://movie.douban.com/subject/1652587/,阿凡达,动作科幻冒险,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...,2009,美国英国,8.7,1044415,89
https://movie.douban.com/subject/1302425/,喜剧之王,喜剧剧情爱情,导演:周星驰StephenChow/李力持Lik-ChiLee主演:周星驰StephenCh...,1999,中国香港,8.8,763440,90
https://movie.douban.com/subject/1297192/,致命ID,剧情悬疑惊悚,导演:詹姆斯·曼高德JamesMangold主演:约翰·库萨克JohnCusack/雷...,2003,美国,8.8,637460,91
https://movie.douban.com/subject/1292370/,剪刀手爱德华,剧情奇幻爱情,导演:蒂姆·波顿TimBurton主演:约翰尼·德普JohnnyDepp/薇诺娜·...,1990,美国,8.7,879285,92
https://movie.douban.com/subject/1300299/,杀人回忆,剧情动作犯罪悬疑惊悚,导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong/金相庆Sang-kyun...,2003,韩国,8.9,539004,93
https://movie.douban.com/subject/1298070/,加勒比海盗,动作冒险奇幻,导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp/...,2003,美国,8.8,698323,94
https://movie.douban.com/subject/1294639/,勇敢的心,动作传记剧情历史战争,导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson/苏菲·玛...,1995,美国,8.9,481129,95
https://movie.douban.com/subject/6985810/,狩猎,剧情,导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...,2012,丹麦瑞典,9.1,295991,96
https://movie.douban.com/subject/26799731/,请以你的名字呼唤我,剧情爱情同性,导演:卢卡·瓜达尼诺LucaGuadagnino主演:艾米·汉莫ArmieHammer/...,2017,意大利法国巴西美国荷兰德国,8.9,533356,97
https://movie.douban.com/subject/1292215/,天使爱美丽,喜剧爱情,导演:让-皮埃尔·热内Jean-PierreJeunet主演:奥黛丽·塔图AudreyTau...,2001,法国德国,8.7,832704,98
https://movie.douban.com/subject/1418834/,断背山,剧情爱情同性家庭,导演:李安AngLee主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...,2005,美国加拿大,8.8,584963,99
https://movie.douban.com/subject/1865703/,红辣椒,动画悬疑科幻惊悚,导演:今敏SatoshiKon主演:林原惠美MegumiHayashibara/江守彻Toru...,2006,日本,9.0,334616,100
https://movie.douban.com/subject/10777687/,7号房的礼物,剧情喜剧家庭,导演:李焕庆Hwan-kyeongLee主演:柳承龙Seung-yongRyoo/朴信惠Shi...,2013,韩国,8.9,430753,101
https://movie.douban.com/subject/1297359/,幽灵公主,动画奇幻冒险,导演:宫崎骏HayaoMiyazaki主演:松田洋治YôjiMatsuda/石田百合...,1997,日本,8.9,431926,102
https://movie.douban.com/subject/25814705/,小森林 夏秋篇,剧情,导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...,2014,日本,9.0,338295,103
https://movie.douban.com/subject/1297630/,第六感,剧情悬疑惊悚,导演:M·奈特·沙马兰M.NightShyamalan主演:布鲁斯·威利斯BruceWi...,1999,美国,8.9,438548,104
https://movie.douban.com/subject/1291875/,阳光灿烂的日子,剧情爱情,导演:姜文WenJiang主演:夏雨YuXia/宁静JingNing/陶虹HongTao,1994,中国大陆中国香港,8.8,496818,105
https://movie.douban.com/subject/1291999/,重庆森林,剧情爱情,导演:王家卫KarWaiWong主演:林青霞BrigitteLin/金城武TakeshiK...,1994,中国香港,8.8,633285,106
https://movie.douban.com/subject/1306249/,唐伯虎点秋香,喜剧爱情古装,导演:李力持Lik-ChiLee主演:周星驰StephenChow/巩俐LiGong/陈...,1993,中国香港,8.7,836239,107
https://movie.douban.com/subject/5322596/,超脱,剧情,导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody/马西...,2011,美国,8.9,386192,108
https://movie.douban.com/subject/1296339/,爱在黎明破晓前,剧情爱情,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,1995,美国奥地利瑞士,8.8,492092,109
https://movie.douban.com/subject/25814707/,小森林 冬春篇,剧情,导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...,2015,日本,9.0,303587,110
https://movie.douban.com/subject/2149806/,入殓师,剧情,导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki/...,2008,日本,8.9,474946,111
https://movie.douban.com/subject/1292434/,一一,剧情爱情家庭,导演:杨德昌EdwardYang主演:吴念真/李凯莉KellyLee/金燕玲Elai...,2000,中国台湾日本,9.1,283749,112
https://movie.douban.com/subject/21318488/,消失的爱人,剧情犯罪悬疑惊悚,导演:大卫·芬奇DavidFincher主演:本·阿弗莱克BenAffleck/罗莎蒙...,2014,美国,8.7,718570,113
https://movie.douban.com/subject/3395373/,蝙蝠侠：黑暗骑士崛起,剧情动作科幻犯罪惊悚,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,2012,美国英国,8.8,572297,114
https://movie.douban.com/subject/1293359/,菊次郎的夏天,剧情喜剧,导演:北野武TakeshiKitano主演:北野武TakeshiKitano/关口雄介Yus...,1999,日本,8.8,452107,115
https://movie.douban.com/subject/1291543/,功夫,动作喜剧犯罪奇幻,导演:周星驰StephenChow主演:周星驰StephenChow/元秋QiuYuen/...,2004,中国大陆中国香港,8.7,802815,116
https://movie.douban.com/subject/1297052/,侧耳倾听,剧情爱情动画,导演:近藤喜文YoshifumiKondo主演:本名阳子YoukoHonna/小林桂树K...,1995,日本,8.9,368413,117
https://movie.douban.com/subject/1297447/,倩女幽魂,爱情奇幻武侠古装,导演:程小东Siu-TungChing主演:张国荣LeslieCheung/王祖贤JoeyW...,1987,中国香港,8.7,585910,118
https://movie.douban.com/subject/11026735/,超能陆战队,喜剧动作科幻动画冒险,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams主演:斯科特...,2014,美国,8.7,802038,119
https://movie.douban.com/subject/26874505/,人生果实,纪录片,导演:伏原健之KenshiFushihara主演:津端修一ShûichiTsubata/津...,2017,日本,9.5,128592,120
https://movie.douban.com/subject/1292337/,无人知晓,剧情,导演:是枝裕和HirokazuKoreeda主演:柳乐优弥YûyaYagira/北浦爱...,2004,日本,9.1,230060,121
https://movie.douban.com/subject/1305164/,甜蜜蜜,剧情爱情,导演:陈可辛PeterChan主演:黎明LeonLai/张曼玉MaggieCheung/...,1996,中国香港,8.9,416580,122
https://movie.douban.com/subject/4202302/,借东西的小人阿莉埃蒂,动画奇幻冒险,导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida/神木...,2010,日本,8.8,436007,123
https://movie.douban.com/subject/5989818/,萤火之森,剧情爱情动画奇幻,导演:大森贵弘TakahiroOmori主演:佐仓绫音AyaneSakura/内山昂辉K...,2011,日本,8.9,408512,124
https://movie.douban.com/subject/1291990/,爱在日落黄昏时,剧情爱情,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,2004,美国法国,8.8,411207,125
https://movie.douban.com/subject/1300992/,完美的世界,剧情犯罪,导演:克林特·伊斯特伍德ClintEastwood主演:凯文·科斯特纳KevinCos...,1993,美国,9.1,220162,126
https://movie.douban.com/subject/3072124/,玛丽和马克思,剧情喜剧动画,导演:亚当·艾略特AdamElliot主演:托妮·科莱特ToniCollette/菲利...,2009,澳大利亚,8.9,359513,127
https://movie.douban.com/subject/2353023/,驯龙高手,动画奇幻冒险,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders主演:...,2010,美国,8.7,611851,128
https://movie.douban.com/subject/1291544/,哈利·波特与阿兹卡班的囚徒,奇幻冒险,导演:AlfonsoCuarón主演:丹尼尔·雷德克里夫DanielRadcliffe/Emma...,2004,英国美国,8.8,489685,129
https://movie.douban.com/subject/1292274/,幸福终点站,喜剧剧情爱情,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,2004,美国,8.8,436340,130
https://movie.douban.com/subject/4268598/,告白,剧情悬疑,导演:中岛哲也TetsuyaNakashima主演:松隆子TakakoMatsu/冈田将生...,2010,日本,8.7,573857,131
https://movie.douban.com/subject/1291545/,大鱼,剧情家庭奇幻冒险,导演:蒂姆·波顿TimBurton主演:伊万·麦克格雷格EwanMcGregor/阿...,2003,美国,8.8,462341,132
https://movie.douban.com/subject/4917726/,阳光姐妹淘,剧情喜剧,导演:姜炯哲Hyeong-CheolKang主演:沈恩京Eun-kyungShim/闵孝琳Hy...,2011,韩国,8.8,497136,133
https://movie.douban.com/subject/1316510/,射雕英雄传之东成西就,喜剧奇幻武侠古装,导演:刘镇伟JeffreyLau主演:梁朝伟TonyLeungChiuWai/林青霞Bri...,1993,中国香港,8.7,519457,134
https://movie.douban.com/subject/1428581/,天书奇谭,动画奇幻,导演:王树忱ShuchenWang/钱运达YundaQian主演:丁建华JianhuaDin...,1983(中国大陆),中国大陆,9.2,182108,135
https://movie.douban.com/subject/21360417/,恐怖直播,剧情犯罪悬疑,导演:金秉祐Byeong-wooKim主演:河正宇Jung-wooHa/李璟荣Kyeong-y...,2013,韩国,8.8,516754,136
https://movie.douban.com/subject/1291579/,怪兽电力公司,儿童喜剧动画奇幻冒险,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman主演:约...,2001,美国,8.7,523515,137
https://movie.douban.com/subject/3287562/,神偷奶爸,喜剧动画冒险,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud主演:...,2010,美国法国,8.6,779648,138
https://movie.douban.com/subject/1296996/,哈利·波特与密室,奇幻冒险,导演:ChrisColumbus主演:丹尼尔·雷德克里夫DanielRadcliffe/艾玛...,2002,美国英国德国,8.7,513432,139
https://movie.douban.com/subject/1858711/,玩具总动员3,喜剧动画奇幻冒险,导演:李·昂克里奇LeeUnkrich主演:汤姆·汉克斯TomHanks/蒂姆·艾...,2010,美国,8.9,404191,140
https://movie.douban.com/subject/1418200/,傲慢与偏见,剧情爱情,导演:乔·怀特JoeWright主演:凯拉·奈特莉KeiraKnightley/马修·...,2005,法国英国美国,8.6,621947,141
https://movie.douban.com/subject/10577869/,时空恋旅人,喜剧爱情奇幻,导演:理查德·柯蒂斯RichardCurtis主演:多姆纳尔·格里森DomhnallGl...,2013,英国,8.8,463243,142
https://movie.douban.com/subject/1294240/,教父3,剧情犯罪,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...,1990,美国,8.9,280277,143
https://movie.douban.com/subject/25986180/,釜山行,动作惊悚灾难,导演:延尚昊Sang-hoYeon主演:孔侑YooGong/郑有美Yu-miJung/马...,2016,韩国,8.6,931972,144
